Категория,Анализ,Биоматериал,Цена,Описание,Время ожидания в днях
Гормоны,C-пептид,1190,"С-пептид – компонент секрета эндокринной части поджелудочной железы, который является показателем выработки инсулина и используется для диагностики сахарного диабета (СД), составления его прогноза и контроля за его лечением, а также для диагностики некоторых опухолей поджелудочной железы.",1,Сыворотка
Гормоны,MCA,1190,"Гликопротеид, содержащийся в клетках молочной железы, уровень которого повышается в крови при раке молочной железы и/или метастазах опухоли в других органах и тканях.",3,Сыворотка
Гормоны,А/т к рецепторам ТТГ,1649,Антитела к рецепторам ТТГ – основной диагностический маркер диффузного токсического зоба (болезни Грейвса). Антитела конкурируют с ТТГ за связывание с рецепторами и нарушают функцию щитовидной железы.,7,Сыворотка
Гормоны,Адренокортикотропный гормон,1190,"Адренокортикотропный гормон - это гормон, выполняющий функцию регулятора синтеза и выделения гормонов коры надпочечников.",1,Кровь с EDTA и апротинином
Гормоны,Альдостерон,990,"Альдостерон – это гормон, отвечающий за удерживание солей натрия и выделение калия почками.",2,Кровь с EDTA и апротинином
Гормоны,Андростендион,1290,"Андростендион - это предшественник половых гормонов тестостерона и эстрона, концентрация которого определяется при диагностике ""вирилизующих"" синдромов.",1,Сыворотка
Гормоны,Антиген СА 242,1190,"Антиген СА 242 продуцируется клетками эпителия желудочно-кишечного тракта. Его появление в крови в большом количестве может свидетельствовать о развитии рака поджелудочной железы, толстого кишечника или прямой кишки.",10,Сыворотка
Гормоны,Антимюллеров гормон,1390,"Антимюллеровский гормон обеспечивает дифференцировку пола у эмбриона, а также участвует в сперматогенезе и созревании фолликула. Он служит индикатором функции половых желез, и его используют, чтобы выяснить причину нарушения дифференцировки пола, мужского и женского бесплодия, а также при диагностике некоторых опухолей.",1,Сыворотка
Гормоны,Ассоциированный с беременностью протеин А,2390,"Это белок, который вырабатывается в больших количествах во время беременности. По его уровню оценивают риск хромосомных аномалий в дородовой диагностике патологий плода.",3,Сыворотка
Гормоны,Гидроксипрогестерон,790,Гидроксипрогестерон (17-ОПГ) - вещество-предшественник гормона кортизола. Измерение его концентрации позволяет охарактеризовать этапы синтеза глюкокортикоидов.,5,Сыворотка
Гормоны,"Глобулин, связывающий половые гормоны",690,"Глобулин, связывающий половые гормоны - это белок, связывающий стероидные гормоны (тестостерон и эстрадиол) для их последующей транспортировки в организме.",1,Сыворотка
Гормоны,ДГЭА-сульфат,590,"Дегидроэпиандростерон-сульфат (ДЭА-SO4) – это андроген, мужской половой гормон, который присутствует в крови как у мужчин, так и у женщин. Он играет важную роль в развитии вторичных мужских половых признаков при половом созревании и может преобразовываться в тестостерон и эстрадиол. ДЭА-SO4 вырабатывается корой надпочечников, его производство контролируется адренокортикотропным гормоном (АКТГ). Женщинам рекомендуется сдавать анализ на 8-10-й день цикла.",1,Сыворотка
Гормоны,Дигидротестостерон,1490,"Дигидротестостерон – это один из наиболее активных андрогенов (как у мужчин, так и у женщин), образующийся из тестостерона непосредственно в ""органах-мишенях"" с участием специального фермента (5-альфа-редуктазы).",5,Сыворотка
Гормоны,Ингибин A,1890,"Ингибин – димерный белок, который секретируется у женщин яичниками, а также во время беременности – тканями плода, плаценты и плодными оболочками.",5,Сыворотка
Гормоны,Ингибин В,1690,"Ингибин В – биологически активный гликопротеин, который синтезируется в фолликулах яичников и семенных канальцах яичек и является маркером мужской и женской репродуктивной функции, а также некоторых новообразований яичников.",5,Сыворотка
Гормоны,Инсулин,790,"Инсулин – это гормон, секретируемый эндокринной частью поджелудочной железы. Он регулирует обмен углеводов, поддерживая глюкозу в крови на необходимом уровне, а также участвует в обмене жиров (липидов).",1,Сыворотка
Гормоны,Кальцитонин,1190,"Кальцитонин – это гормон щитовидной железы, синтезирующийся в парафолликулярных клетках, один из основных регуляторов кальций-фосфорного обмена.",2,Сыворотка
Гормоны,"Катехоламины мочи (адреналин, норадреналин, дофамин)",1890,"Катехоламины – это группа сходных гормонов, вырабатываемых мозговым веществом надпочечников. В норме катехоламины и продукты их распада присутствуют в организме в небольших количествах. Их содержание значительно возрастает на короткое время только при стрессах. Однако хромаффинные и другие нейроэндокринные опухоли могут вызывать образование больших количеств катехоламинов, что приводит к значительному повышению уровней этих гормонов и продуктов их распада в крови и моче. Это грозит длительными или кратковременными повышениями кровяного давления и, соответственно, сильными головными болями.",3,Моча с консервантом
Гормоны,Кортизол,790,"Гормон, относящийся к группе кортикостероидов. Синтез и высвобождение кортизола в кровь зависит от активности АКТГ. Основные функции кортизола: ускоряет синтез глюкозы, повышая ее содержание в крови, стимулирует расщепление жиров, стабилизирует мембраны тучных клеток (противоаллергическое действие), обладает противовоспалительным действием. Гормон имеет суточный ритм секреции с максимальной концентрацией утром (6-8 часов утра) и минимальным содержанием вечером (после 21 часа). При стрессовых ситуациях, травмах, физической нагрузке, беременности концентрация в крови возрастает. Тест используется для диагностики болезни и синдрома Иценко – Кушинга.",1,Сыворотка
Гормоны,Кортизол мочи,1190,"Кортизол – это гормон, который образуется в коре надпочечников – небольших органах треугольной формы, расположенных на верхних полюсах обеих почек. Функции кортизола в организме: защита от стресса, регуляция артериального давления, участие в обмене белков, жиров и углеводов.",7,Суточная моча
Гормоны,Лептин,1190,"Лептин – это гормон жировой ткани, регулирующий энергетический обмен и массу тела (подавляет аппетит), обеспечивающий регуляцию энергетических, нейроэндокринных и метаболических процессов организма. Снижение концентрации лептина ведёт к развитию ожирения. Лептин рассматривается в качестве одного из факторов патогенеза инсулиннезависимого сахарного диабета (сахарного диабета 2-го типа).",5,Сыворотка
Гормоны,Лютеинизирующий гормон,590,"Лютеинизирующий гормон (ЛГ) – гонадотропный гормон передней доли гипофиза, стимулирующий секрецию половых гормонов (эстрогенов и прогестеронов) у мужчин и женщин.",1,Сыворотка
Гормоны,Макропролактин,1290,Макропролактин – это высокомолекулярный комплекс гормона пролактина и иммуноглобулина G.,3,Сыворотка
Гормоны,Маркер формирования костного матрикса,2190,N-терминальный пропептид проколлагена1 типа. Фрагмент предшественника коллагена I типа. Основной показатель активности формирования костной ткани.,7,Сыворотка
Гормоны,Общий бета-ХГЧ,790,"Хорионический гонадотропин человека (ХГЧ) – это гормон, который вырабатывается в плодной оболочке человеческого эмбриона. Он является важным показателем развития беременности и ее отклонений. Бета-субъединица хорионического гонадотропина уникальна, что, с одной стороны, обуславливает специфичность его действия, а с другой – позволяет идентифицировать его в биологических средах. Зная уровень бета-ХГЧ в крови, можно уже на 6-8-й день после зачатия диагностировать беременность. В норме при беременности в период между 2-й и 5-й неделей количество бета-ХГЧ удваивается каждые 1,5 суток.",1,Сыворотка
Гормоны,Опухолевый маркер НЕ 4,1590,"Определение концентрации человеческого эпидидимального протеина 4 (HE4), которое может быть использовано для диагностики, оценки прогноза и контроля лечения рака яичника и эндометрия.",5,Сыворотка
Гормоны,Остеокальцин,1190,"Остеокальцин – это основной витамин К – зависимый неколлагеновый белок костного матрикса, связывающий кальций и гидроксиапатиты. Он синтезируется остеобластами и одонтобластами костной ткани. Основная часть синтезированного белка входит в состав внеклеточного матрикса костной ткани, который затем минерализуется с образованием новой кости, а оставшаяся часть попадает в кровоток. При резорбции костной ткани под воздействием остеокластов остеокальцин высвобождается из костного матрикса и попадает в кровь в виде неиммунных фрагментов. Они выводятся почками в виде метаболитов гамма-карбоксиглутаминовой кислоты (Gla), поэтому уровень остеокальцина в крови зависит от функционального состояния почек. N-остеокальцин – это большой фрагмент витамин К – зависимого неколлагенового белка костного матрикса, остеокальцина, синтезируемого остеобластами. Он является маркером метаболизма костной ткани.",1,Кровь с EDTA и апротинином
Гормоны,Паратгормон,990,"Паратиреоидный гормон (ПТГ) – полипептидный гормон, который синтезируется паращитовидными железами и играет важную роль в регуляции уровня кальция и фосфора в организме.",1,Кровь с EDTA и апротинином
Гормоны,Плацентарный лактоген,990,"Плацентарный лактоген (ПЛ) – это полипептидный гормон, вырабатываемый клетками синцитиотрофобласта и необходимый для регуляции метаболизма матери и плода.",10,Сыворотка
Гормоны,Прогестерон,690,"Прогестерон - это стероидный гормон, влияющий на менструальный цикл, беременность и эмбриональное развитие.",1,Сыворотка
Гормоны,Проинсулин,1490,"Проинсулин является предшественником инсулина и С-пептида, который синтезируется островками В-клеток поджелудочной железы.",7,Сыворотка
Гормоны,Пролактин,590,"Пролактин - это гормон, производимый гипофизом. Одна из самых важных функций гормона — поддержание желтого тела в яичнике, которое вырабатывает прогестерон, необходимый для успешного вынашивания.У мужчин пролактин также регулирует деятельность надпочечников и выработку андрогенов. В случае слишком высокого содержания пролактина в крови (гиперпролактинемия) может наблюдаться депрессия, снижение либидо, репродуктивные нарушения как у женщин, так и у мужчин.",1,Сыворотка
Гормоны,Ренин,1390,"Ренин – расщепляющий белки фермент, который производится юкстагломерулярными клетками почек. Основной его функцией является регулирование артериального давления, уровня калия и баланса объема жидкости.",5,Кровь с EDTA и апротинином
Гормоны,С-концевые телопептиды коллагена I типа,1390,"С-концевые телопептиды коллагена I типа (Beta-Cross laps) представляют собой продукт деградации спирального белка коллагена, из которого на 90% состоит матрикс кости. Известно, что кости человека находятся в постоянном процессе формирования и резорбции, то есть рассасывания.",5,Сыворотка
Гормоны,Тестостерон общий,690,"Тестостерон — стероидный гормон (андроген), один из главных показателей андрогенного статуса организма. Он синтезируется корой надпочечников, семенниками у мужчин и яичниками у женщин. Гормон влияет на развитие вторичных половых признаков, половое влечение, активирует потенцию и сперматогенез.",1,Сыворотка
Гормоны,Тестостерон свободный,1290,"Биологически активная фракция стероидного полового гормона тестостерона, не связанная с белками крови.
Тестостерон свободный составляет 2–3% от общего.",5,Сыворотка
Гормоны,Тиреоглобулин,890,"Тиреоглобулин – прогормон щитовидной железы, являющийся маркером рецидива высокодифференцированных злокачественных новообразований щитовидной железы и используемый для контроля лечения этих заболеваний.",1,Сыворотка
Гормоны,Тиреотропный гормон (ТТГ),590,"Тиреотропный гормон (ТТГ) – основной регулятор функции щитовидной железы, синтезирующийся гипофизом – небольшой железой, которая расположена на нижней поверхности головного мозга. Основная его функция – поддерживать постоянную концентрацию гормонов щитовидной железы – тиреоидных гормонов, которые регулируют процессы образования энергии в организме. Когда их содержание в крови понижается, гипоталамус высвобождает гормон, стимулирующий секрецию ТТГ гипофизом.",1,Сыворотка
Гормоны,Тироксин (Т4) свободный,590,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Свободный тироксин – биологически активная часть общего тироксина, которая играет важную роль в обмене веществ.",1,Сыворотка
Гормоны,Тироксин общий (Т4),690,"Тироксин (Т4) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического и пластического обмена в организме. Общий тироксин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.",1,Сыворотка
Гормоны,Тироксин связывающая способность сыворотки,1190,"Тест, который помогает оценить содержание в крови тироидсвязывающих белков (в основном тироксинсвязывающего глобулина) и их влияние на концентрацию Т4 общего (тироксин общий).",2,Сыворотка
Гормоны,Трийодтиронин (Т3) свободный,590,"Трийодтиронин (Т3) - один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического (главным образом поглощения кислорода тканями) и пластического обмена в организме. Общий трийодтиронин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.Трийодтиронин (Т3) – гормон щитовидной железы, биологическая активность которого в 3-5 раз превышает активность тироксина (Т4). Некоторое количество трийодтиронина синтезируется в щитовидной железе, однако в основном он образуется при дейодировании тироксина вне ее. Большая часть цирку­лирующего в крови трийодтиронина связана с белками плазмы, в частности с тироксинсвязывающим глобулином, тироксин-связывающим преальбумином и альбумином.",3,Сыворотка
Гормоны,Трийодтиронин общий (Т3),590,"Трийодтиронин (Т3) – один из двух главных гормонов щитовидной железы, основной функцией которого является регуляция энергетического (главным образом поглощения кислорода тканями) и пластического обмена в организме. Общий трийодтиронин – это сумма двух фракций: связанной и не связанной с белками плазмы крови.",1,Сыворотка
Гормоны,Фолликулостимулирующий гормон,590,"Фолликулостимулирующий гормон — вырабатывается в гипофизе, от его концентрации в крови зависит правильное развитие и работа половой системы. ФСГ отвечает за развитие фолликула в яичнике, созревание в нем яйцеклетки и выход ее в полость тела. У мужчин ФСГ участвует в процессе созревания семенников и семенных канальцев. Чаще всего анализ на ФСГ необходим для выявления причин бесплодия, как у женщин, так и у мужчин.",1,Сыворотка
Гормоны,Эстрадиол,590,"Эстрадиол - это основной и наиболее активный для человека женский половой гормон. Эстрадиол отвечает за фертильность женщины и за развитие по женскому типу. Эстрадиол в организме будущей матери отвечает за сохранение беременности, состояние маточных сосудов и усиление в них кровообращения, повышает свертываемость крови. Анализ на эстрадиол назначают при подозрениях на проблемы с репродуктивным здоровьем или гормональный дисбаланс. Также назначается при симптомах феминизации у мужчин.",1,Сыворотка
Гормоны,Эстриол свободный,1190,"Эстриол - это малоактивный 
второстепенный женский половой 
гормон, отвечающий за нормальное протекание беременности.",3,Сыворотка
Антитела,А/т к ХГЧ (аутоантитела-маркеры анти-ХГЧ синдрома),1590,"Антитела к ХГЧ – иммуноглобулины, повреждающие клетки эмбриона и препятствующие связыванию хорионического гонадотропного гормона с рецепторами желтого тела. Они вмешиваются в процесс слияния гормона и желтого тела и повреждают клетки плода. Наличие антител к ХГЧ может являться аутоиммунным фактором привычного выкидыша и причиной бесплодия. Наиболее высокая частота встречаемости антител к ХГЧ отмечается среди женщин с привычным невынашиванием беременности, с антенатальными потерями или искусственными прерываниями беременности на малых сроках.",10,Кровь
Антитела,А/т к рецепторам ТТГ,1649,Антитела к рецепторам ТТГ – основной диагностический маркер диффузного токсического зоба (болезни Грейвса). Антитела конкурируют с ТТГ за связывание с рецепторами и нарушают функцию щитовидной железы.,7,Сыворотка
Антитела,Авидность IgG к вирусу Эпштейна-Барр,1290,Вирус Эпштейна - Барр (EBV) относится к семейству герпес-вирусов. Определение авидности к вирусу Эпштейна-Барр позволяет уточнить сроки инфицирования и дифференцировать первичную инфекцию от обострения хронической или латентно текущей инфекции.,5,Сыворотка
Антитела,Авидность IgG к вирусу краснухи,1490,"Исследование авидности иммуноглобулинов класса G (IgG) к вирусу краснухи – метод обследования, позволяющий определить степень эффективности специфического взаимодействия между молекулами антител и антигенов, скорость образования иммунного комплекса и полноту нейтрализации антигенов.",7,Сыворотка
Антитела,Авидность IgG к токсоплазме (Toxoplasma gondii),1190,"Исследование, направленное на определение авидности антител класса IgG к Toxoplasma gondii для определения срока первичного инфицирования и длительности токсоплазменной инфекции (токсоплазмоза). Определение авидности антител необходимо производить при положительных результатах выявления антител классов IgM и/или IgG к антигенам возбудителя Toxoplasma gondii.",1,Сыворотка
Антитела,Авидность IgG к цитомегаловирусу,1990,Индекс авидности к ЦМВ позволяет оценить силу связывания антигена с антителами класса IgG.,1,Сыворотка
Антитела,Антикератиновые антитела,1690,"Антикератиновые антитела (АКА) – аутоантитела, направленные организмом против собственного белка филаггрина, которые являются специфичными маркерами ревматоидного артрита и исследуются для диагностики, оценки активности и прогноза этого заболевания.",10,Сыворотка
Антитела,"Антинейтрофильные цитоплазматические антитела, IgG ANCA",2190,"Антинейтрофильные антитела (ANCA) являются маркером системных васкулитов. К таким заболеваниям относят: гранулематоз Вегенера, микроскопический полиангиит и синдром Черджа – Стросс.",2,Сыворотка
Антитела,Антинуклеарный фактор на клеточной линии HEp-2,1390,"При системной красной волчанке (СКВ) и других системных ревматических заболеваниях иммунный ответ направлен против нуклеопротеиновых антигенов, т.е. комплексов нуклеиновых кислот и белков. Такие эндогенные нуклеопротеиновые аутоантигены могут образовываться в ходе процесса апоптоза эпителиальных клеток (каскад генетически запрограммированных реакций, приводящих к удалению поврежденной или дефектной клетки) и напоминают чужеродные вирусные частицы. Ускорение процессов апоптоза под действием ультрафиолетового облучения, вирусных инфекций или лекарственных препаратов, одновременно с нарушенным или замедленным удалением продуктов апоптоза, запускает аутоиммунные ответы при СКВ. Нуклеопротеиновые антигены конденсируются в апоптотических тельцах, которые становятся мишенью для аутоантител. В настоящее время описаны около 200 разновидностей антител к нуклеопротеинам и рибонуклеиновым кислотам, которые получили название антинуклеарные антитела. При аутоиммунных заболеваниях аутоантитела к ядерным антигенам не обладают прямым цитотоксическим действием на клетки человека, однако иммунные комплексы способны запускать иммунологическое воспаление, особенно в местах, где сосуды особенно тонки, в том числе в почках, коже, центральной нервной системе, синовиальной оболочке суставов, плевре. Исследование антинуклеарного фактора (АНФ) представляет собой основной метод выявления антинуклеарных антител, позволяя выявлять аутоантитела к нуклеиновым кислотам (дсДНК, осДНК, РНК), рибонуклеопротеинам, а также большинству конформационных и нерастворимых антигенов.",7,Сыворотка
Антитела,Антиретикулиновые антитела,2490,"Тест на антиретикулиновые антитела - это определение аутоиммунных антител к компонентам соединительной ткани, которые являются специфическими маркерами глютеновой энтеропатии.",10,Сыворотка
Антитела,Антистрептолизин - О,590,Антистрептолизин-О - это вырабатываемые организмом антитела против стрептококка группы А - стрептолизина. Их наличие является показателем перенесенной стрептококковой инфекции.,1,Кровь
Антитела,Антитела IgG к легионелле (Legionella pneumoniae),890,"Легионеллез - острая инфекционная патология, проявляющаяся выраженной интоксикацией, симптомами пневмонии, альвеолита, поражения ЖКТ, почек и нервной системы. Естественным местом обитания возбудителя являются неживые объекты окружающей среды. Размножение микробов происходит вне организма человека, чаще всего в воде. Выделение бактерий из зараженного организма не является эпидемиологически значимым. Передача инфекционных агентов из естественных мест обитания человеку и переход от сапрофитического к паразитическому способу их существования - основные условия для возникновения и развития легионеллеза.",3,Кровь
Антитела,Антитела IgG к респираторно-синцитиальному вирусу (Аnti-RSV IgG),990,"Исследование для выявления специфических антител класса G к респираторно-синцитиальному вирусу, которые являются маркёром текующей или перенесённой инфекции.",3,Кровь
Антитела,Антитела антиспермальные в сыворотке,990,"Антитела к спермальным антигенам – это специфические иммуноглобулины, действие которых направлено против сперматозоидов. Они вырабатываются иммунной системой мужчины или женщины в ответ на контакт со спермой и могут быть причиной бесплодия. В норме в организме здоровых людей антитела к спермальным антигенам не определяются.",7,Сыворотка
Антитела,"Антитела к HBе-антигену вируса гепатита B, суммарные",990,"Свидетельство перенесённого острого гепатита В, показатель ремиссии.",3,Сыворотка
Антитела,Антитела к Vi-aнтигену вобудителя брюшного тифа,990,"Антитела к Vi-антигену возбудителя брюшного тифа (S. typhi) – это специфические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование возбудителем брюшного тифа и участвующие в реакциях иммунной защиты организма.",7,Сыворотка
Антитела,"Антитела к Аденовирусу, IgA",690,"Определение в венозной крови антител к возбудителям семейства Adenoviridae - иммуноглобулинов класса А (IgA), которые являются признаком острой или недавно перенесенной аденовирусной инфекции.",7,Сыворотка
Антитела,"Антитела к Аденовирусу, IgG",690,"Выявление специфических антител к возбудителям семейства Adenoviridae - иммуноглобулинов класса G (IgG), рост концентрации которых является признаком острой аденовирусной инфекции или обострения хронической.",7,Сыворотка
Антитела,"Антитела к Аденовирусу, IgM",690,"Определение антител класса IgM к аденовирусу является хорошим дополнением к методу прямого определения вируса для диагностики инфекций респираторного тракта, конъюнктивита, кератита, менингита и гастроэнтерита, повышая достоверность диагностики.",7,Сыворотка
Антитела,"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG",1990,"Анализ сыворотки крови на содержание IgG-антител к Entamoeba histolytica позволяет не только диагностировать наличие у пациента инвазивного амебиаза, но и выявить факт бессимптомного носительства, а также определить предшествующие случаи заболевания неинвазивным амебиазом.",2,Сыворотка
Антитела,"Антитела к аннексину V класса, IgG",1590,"Аннексины – это группа белков, отличительной особенностью которых является способность связывать фосфолипиды. Эти белки необходимы для транспорта органелл, передачи сигнала, а также деления, роста клеток и апоптоза. Выявление в крови иммуноглобулинов IgG к аннексину V, которое используется для оценки риска самопроизвольного прерывания беременности и тромбоза.",3,Сыворотка
Антитела,"Антитела к аннексину V класса, IgM",1590,"Выявление в крови иммуноглобулинов IgM к аннексину V, которое используется для оценки риска самопроизвольного прерывания беременности и тромбоза.",3,Сыворотка
Антитела,"Антитела к антигенам лямблий (суммарные: IgA, IgG, IgM)",1590,"Антитела к Giardia lamblia (возбудителю лямблиоза) – это специфические белки-иммуноглобулины, вырабатываемые иммунной системой в ответ на инфицирование лямблиями, что может быть признаком текущей инфекции, недавно перенесенного заболевания или возможного бессимптомного носительства.",2,Сыворотка
Антитела,"Антитела к аскаридам (Ascaris lumbricoides) IgЕ, P1",2190,"Выявление антител класса IgЕ к аллергенам аскарид. Глистная инвазия может приводит к развитию аллергических реакций на паразитарного агента. Иммуноглобулины Е отвечают за быстрый ответ на контакт с аллергеном. Если организм не имел контакта с данным аллергеном, тест будет отрицательным. Назначается для диагностики IgE-зависимой аллергии.",2,Сыворотка
Антитела,"Антитела к аскаридам (Ascaris lumbricoides), IgG",1890,"Показатель инфицирования человека аскаридами (гельминтами, червями), вызывающими заболевание аскаридоз. Возбудитель заболевания – аскарида человеческая (Ascaris lumbricoides), относящаяся к классу круглых червей. Заражение происходит при употреблении пищи (плохо помытых овощей, чаще корнеплодов), инфицированной яйцами аскарид, а также через грязные руки. Яйца аскарид попадают в тонкий кишечник, где из них выходят личинки.",2,Сыворотка
